Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000988270498048557,0.00062224438766019,2.68014743063445E-18,0,0,0,16.5288754771647,0.130459190161259,0.00137831063792757,-2.13327794949787E-18,0.334872378601924,2.72965225715421E-18,0.259939977954239,0,0,0,0,0,0,package://horse/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/base_link.STL,,baselink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
zuohou1,0.0509550526508137,7.60745069066163E-09,0.0101844854715105,0,0,0,0.489309823559207,0.00058349591786804,-1.92977739727799E-10,-2.01566934111795E-05,0.000638747149993603,-5.88815517631386E-10,0.000437849797972024,0,0,0,0,0,0,package://horse/meshes/zuohou1.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuohou1.STL,,gengbu_zuohou-1,Origin_zuohou1j,Axis_zuohou1j,zuohou1j,continuous,0.21,-0.08,0,1.5358,0,0,base_link,1,0,0,0,0,3.14,-3.14,,,,,,,,
zuohou2,0.0887288713166055,0,-0.0625039825346419,0,0,0,0.812601884733516,0.00062518989218891,1.6877660869634E-18,0.000681762991461073,0.00586246560227408,-4.91279109407494E-19,0.00593067217164617,0,0,0,0,0,0,package://horse/meshes/zuohou2.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuohou2.STL,,datui_zuohou-1,Origin_zuohou2j,Axis_zuohou2j,zuohou2j,continuous,0.055,0,0.040099,-3.1416,0,-1.446,zuohou1,0,0,1,0,0,3.14,-3.14,,,,,,,,
zuohou3,0.0664819265813218,6.61710686244987E-11,-0.0357568278163642,0,0,0,0.272846997327172,9.67069291285659E-05,-8.16503272509025E-13,2.71516919114255E-05,0.00105759444351874,-1.19904076495122E-13,0.0011089604520678,0,0,0,0,0,0,package://horse/meshes/zuohou3.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuohou3.STL,,xiaotui_zuohou-1,Origin_zuohou3j,Axis_zuohou3j,zuohou3j,continuous,0.2,0,-0.082647,0,0,0.80618,zuohou2,0,0,1,0,0,3.14,-3.14,,,,,,,,
zuoqian1,0.0509550525848549,-1.36819854621231E-09,0.0101844844164358,0,0,0,0.489309817445998,0.000583495934613441,-1.94141138497289E-10,-2.01566701601185E-05,0.000638747102850655,-5.01446331309938E-10,0.000437849810813172,0,0,0,0,0,0,package://horse/meshes/zuoqian1.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuoqian1.STL,,gengbu_zuoqian-1,Origin_zuoqian1j,Axis_zuoqian1j,zuoqian1j,continuous,-0.21,-0.08,0,-1.5259,0,-3.1416,base_link,1,0,0,0,0,3.14,-3.14,,,,,,,,
zuoqian2,0.0887288713166055,0,-0.0652966112581331,0,0,0,0.812601884733515,0.000625189892188902,-2.5254287322387E-18,0.000681762991461078,0.00586246560227407,3.3881317890172E-19,0.00593067217164617,0,0,0,0,0,0,package://horse/meshes/zuoqian2.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuoqian2.STL,,datui_zuoqian-1,Origin_zuoqian2j,Axis_zuoqian2j,zuoqian2j,continuous,0.055,0,0.037306,-3.1416,0,1.9985,zuoqian1,0,0,1,0,0,3.14,-3.14,,,,,,,,
zuoqian3,0.0664819265730844,-9.29671374605423E-11,-0.0370076954345057,0,0,0,0.272846997281238,9.67069290982143E-05,1.15308057369175E-12,2.71516920884114E-05,0.00105759444340122,-1.33336717995968E-13,0.00110896045193731,0,0,0,0,0,0,package://horse/meshes/zuoqian3.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/zuoqian3.STL,,xiaotui_zuoqian-1,Origin_zuoqian3j,Axis_zuoqian3j,zuoqian3j,continuous,0.2,0,-0.084189,0,0,1.2893,zuoqian2,0,0,1,0,0,3.14,-3.14,,,,,,,,
youhou1,0.0509550525593675,5.76336066458044E-09,0.0101844845886479,0,0,0,0.489309821097259,0.000583495923778425,-1.92561210297664E-10,-2.01566883277619E-05,0.000638747125162699,-5.73177901588693E-10,0.000437849807394175,0,0,0,0,0,0,package://horse/meshes/youhou1.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/youhou1.STL,,gengbu_youhou-1,Origin_youhou1j,Axis_youhou1j,youhou1j,continuous,0.21,0.08,0,-1.5865,0,0,base_link,1,0,0,0,0,3.14,-3.14,,,,,,,,
youhou2,0.0887288713166055,0,-0.0570584422937337,0,0,0,0.812601884733516,0.000625189892188906,2.05617247945981E-19,0.000681762991461078,0.00586246560227408,3.70153397950129E-19,0.00593067217164617,0,0,0,0,0,0,package://horse/meshes/youhou2.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/youhou2.STL,,datui_youhou-1,Origin_youhou2j,Axis_youhou2j,youhou2j,continuous,0.055,0,0.045545,-3.1416,0,1.4278,youhou1,0,0,1,0,0,3.14,-3.14,,,,,,,,
youhou3,0.066481926627994,1.75699177429323E-10,-0.0312591821299887,0,0,0,0.272846997587101,9.67069292627314E-05,-2.17468581216179E-12,2.71516918207882E-05,0.00105759444419521,-1.08331504946886E-13,0.00110896045275955,0,0,0,0,0,0,package://horse/meshes/youhou3.STL,1,1,1,1,0,0,0,0,0,0,package://horse/meshes/youhou3.STL,,xiaotui_youhou-1,Origin_youhou3j,Axis_youhou3j,youhou3j,continuous,0.2,0,-0.081699,0,0,-1.1207,youhou2,0,0,1,0,0,3.14,-3.14,,,,,,,,
