Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000988270498048556,0.000622244387660192,2.86975633108087E-18,0,0,0,16.5288754771647,0.130459190161259,0.00137831063792757,-2.47989981163362E-18,0.334872378601923,2.23624092180754E-18,0.259939977954239,0,0,0,0,0,0,package://horse2.0/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/base_link.STL,,baselink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
zuoqian1,0.0509550524820431,4.33425945887953E-09,0.0101844838497848,0,0,0,0.489309819089716,0.000583495928452911,-1.92180252630636E-10,-2.01566843678888E-05,0.000638747104738508,-5.61284646765977E-10,0.000437849815076284,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian1.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian1.STL,,gengbu_zuoqian-1,Origin_zuoqian1j,Axis_zuoqian1j,zuoqian1j,continuous,-0.21,-0.08,0,-1.5708,0,3.1416,base_link,1,0,0,20,2,3.14,-3.14,,,0.1,0.1,,,,
zuoqian2,0.0887288713166056,-2.03959904184326E-17,-0.052603023717002,0,0,0,0.812601884733516,0.000625189892188913,3.48217414854764E-19,0.000681762991461079,0.00586246560227409,5.52997151947257E-20,0.00593067217164617,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian2.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian2.STL,,datui_zuoqian-1,Origin_zuoqian2j,Axis_zuoqian2j,zuoqian2j,continuous,0.055,0,0.05,3.1416,0,3.1416,zuoqian1,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
zuoqian3,0.0664819271210861,3.91078739817153E-13,-0.0285031648956901,0,0,0,0.272847000302159,9.67069309571996E-05,-2.72518319677417E-15,2.71516914095803E-05,0.00105759445138729,-1.21879774193722E-13,0.00110896046039494,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian3.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuoqian3.STL,,xiaotui_zuoqian-1,Origin_zuoqian3j,Axis_zuoqian3j,zuoqian3j,continuous,0.2,0,-0.08,0,0,3.1416,zuoqian2,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
zuohou1,0.0509550524820431,4.33425945010709E-09,0.0101844838497848,0,0,0,0.489309819089716,0.000583495928452911,-1.92180252596408E-10,-2.01566843678887E-05,0.000638747104738507,-5.6128464673609E-10,0.000437849815076283,0,0,0,0,0,0,package://horse2.0/meshes/zuohou1.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuohou1.STL,,gengbu_zuohou-1,Origin_zuohou1j,Axis_zuohou1j,zuohou1j,continuous,0.21,-0.08,0,1.5708,0,0,base_link,1,0,0,20,2,3.14,-3.14,,,0.1,0.1,,,,
zuohou2,0.0937288713166055,-8.71848613381986E-18,-0.102603023717002,0,0,0,0.812601884733515,0.000625189892188908,2.95697734599226E-19,0.000681762991461077,0.00586246560227408,5.38461284579359E-20,0.00593067217164617,0,0,0,0,0,0,package://horse2.0/meshes/zuohou2.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuohou2.STL,,datui_zuohou-1,Origin_zuohou2j,Axis_zuohou2j,zuohou2j,continuous,0.05,0,0,3.1416,0,0,zuohou1,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
zuohou3,0.066481927121086,3.91075151066432E-13,-0.0285031648956901,0,0,0,0.272847000302159,9.67069309571996E-05,-2.72521448708387E-15,2.71516914095804E-05,0.00105759445138729,-1.21879689379952E-13,0.00110896046039494,0,0,0,0,0,0,package://horse2.0/meshes/zuohou3.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/zuohou3.STL,,xiaotui_zuohou-1,Origin_zuohou3j,Axis_zuohou3j,zuohou3j,continuous,0.205,0,-0.13,0,0,3.1416,zuohou2,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
youqian1,0.0509550524820431,4.33425945146715E-09,0.0101844838497848,0,0,0,0.489309819089716,0.00058349592845291,-1.92180252611813E-10,-2.01566843678887E-05,0.000638747104738507,-5.61284646760859E-10,0.000437849815076283,0,0,0,0,0,0,package://horse2.0/meshes/youqian1.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/youqian1.STL,,gengbu_youqian-1,Origin_youqian1j,Axis_youqian1j,youqian1j,continuous,-0.21,0.08,0,1.5708,0,3.1416,base_link,1,0,0,20,2,3.14,-3.14,,,0.1,0.1,,,,
youqian2,0.0837288713166055,-1.49201591869211E-17,-0.102603023717002,0,0,0,0.812601884733515,0.000625189892188917,2.06643247802909E-20,0.000681762991461079,0.00586246560227409,1.70940978767396E-20,0.00593067217164617,0,0,0,0,0,0,package://horse2.0/meshes/youqian2.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/youqian2.STL,,datui_youqian-1,Origin_youqian2j,Axis_youqian2j,youqian2j,continuous,0.05,0,0,3.1416,0,3.1416,youqian1,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
youqian3,0.0664819271210861,3.91059908343943E-13,-0.0285031648956901,0,0,0,0.272847000302158,9.67069309571995E-05,-2.72523726609804E-15,2.71516914095802E-05,0.00105759445138729,-1.21879671290083E-13,0.00110896046039494,0,0,0,0,0,0,package://horse2.0/meshes/youqian3.STL,1,1,1,1,0,0,0,0,0,0,package://horse2.0/meshes/youqian3.STL,,xiaotui_youqian-1,Origin_youqian3j,Axis_youqian3j,youqian3j,continuous,0.195,0,-0.13,0,0,3.1416,youqian2,0,0,1,20,2,3.14,-3.14,,,0.1,0.1,,,,
