Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.021402,0.0044886,-1.7081E-05,0,0,0,2.6795,0.0076492,1.5153E-21,-5.1771E-19,0.0063735,7.6995E-20,0.0030666,0,0,0,0,0,0,package://g308_km/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km/meshes/base_link.STL,,12自由度身体-1/玻纤板-平台-2;12自由度身体-1/铝管15-190-6;12自由度身体-1/铝管15-175mmx4-2;12自由度身体-1/铝管15-175mmx4-4;12自由度身体-1/铝管15-190-8;12自由度身体-1/3D打印件-垫宽x8.-4;12自由度身体-1/玻纤板-连接2-7;12自由度身体-1/玻纤板-连接2-8;12自由度身体-1/玻纤板-电机连接2-1;12自由度身体-1/玻纤板-连接4-3mm-2;12自由度身体-1/玻纤板-连接3-3mm-4;12自由度身体-1/玻纤板-连接3-3mm-3;12自由度身体-1/玻纤板-连接1-3mm-1;12自由度身体-1/玻纤板-连接2-13;12自由度身体-1/玻纤板-连接2-14;12自由度身体-1/玻纤板-电机连接2-3;12自由度身体-1/3D打印件-垫宽x8.-6;12自由度身体-1/玻纤板-电机连接-2;12自由度身体-1/3D打印件-垫宽x8.-5;12自由度身体-1/铝管15-175mmx4-3;12自由度身体-1/玻纤板-连接2-12;12自由度身体-1/玻纤板-连接2-10;12自由度身体-1/玻纤板-连接2-11;12自由度身体-1/玻纤板-连接2-17;12自由度身体-1/铝管15-190-7;12自由度身体-1/铝管15-102mmx2-1;12自由度身体-1/玻纤板-连接4-3mm-1;12自由度身体-1/玻纤板-连接3-3mm-1;12自由度身体-1/玻纤板-电机连接-1;12自由度身体-1/玻纤板-连接2-6;12自由度身体-1/玻纤板-连接3-3mm-8;12自由度身体-1/玻纤板-连接1-3mm-3;12自由度身体-1/玻纤板-连接4-3mm-3;12自由度身体-1/玻纤板-连接2-15;12自由度身体-1/3D打印件-垫宽x8.-1;12自由度身体-1/铝管15-175mmx4-1;12自由度身体-1/铝管15-190-5;12自由度身体-1/玻纤板-连接4-3mm-4;12自由度身体-1/玻纤板-连接3-3mm-5;12自由度身体-1/铝管15-135-1;12自由度身体-1/玻纤板-连接1-3mm-2;12自由度身体-1/玻纤板-连接2-1;12自由度身体-1/玻纤板-连接2-3;12自由度身体-1/玻纤板-连接2-2;12自由度身体-1/玻纤板-连接3-3mm-2;12自由度身体-1/玻纤板-连接3-3mm-6;12自由度身体-1/玻纤板-连接1-3mm-4;12自由度身体-1/玻纤板-连接2-4;12自由度身体-1/铝管15-102mmx2-2;12自由度身体-1/玻纤板-连接2-16;12自由度身体-1/玻纤板-连接3-3mm-7;12自由度身体-1/铝管15-135-2;12自由度身体-1/玻纤板-连接2-5;装配体-腿部-右后-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-左后-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-左前-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-右前-1/装配体-腿部一级-1/电机-DM-J8006-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0323040033471836,0.000154622877042843,-0.000486401620729562,0,0,0,0.644397945178878,0.000560096488896003,-2.58445896879268E-08,-1.17457351822168E-08,0.000387498452982005,9.77577836230496E-09,0.000727167585866916,0,0,0,0,0,0,package://g308_km/meshes/FL_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km/meshes/FL_hip.STL,,装配体-腿部-左前-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-二级铝管填充-1;装配体-腿部-左前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-左前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-左前-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,FL_hip,A_FL_hip,FL_hip_joint,revolute,-0.1699,-0.0615,0.0077356,1.5708,0,3.1416,base_link,1,0,0,20,10,0,0,,,,,,,,
FL_thigh,-0.00335375585464631,-0.0338204158503171,-0.0432769291541621,0,0,0,1.30117807647032,0.00279206136091983,0.000172867258688035,2.70466477607684E-06,0.000956985960310882,-2.89466002187037E-06,0.00368635586600483,0,0,0,0,0,0,package://g308_km/meshes/FL_thigh.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km/meshes/FL_thigh.STL,,装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机1-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-3;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-2;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机3-4;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机4-1;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-8;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-3;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-4;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-7;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-小腿电机固定-1;装配体-腿部-左前-1/打印件-小腿电机包裹B-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/电机-DM-J8006-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板-9;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件1-4;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板-10;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-小腿电机出轴垫片B-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1底层-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-连杆1垫件-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件3-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件2-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.0677,0,-0.039,0,0,0,FL_hip,0,0,1,20,10,0,0,,,,,,,,
FL_calf,0.0502864229248673,-0.091368336916456,0.0100012603719881,0,0,0,0.24357427073011,0.000648204117665966,-0.000308645680472933,-2.22084370789132E-09,0.000186059943789518,5.1353840937384E-09,0.0008233069902308,0,0,0,0,0,0,package://g308_km/meshes/FL_calf.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km/meshes/FL_calf.STL,,装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板右-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板左-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充上-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充下-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-马蹄-1/打印件-马蹄-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,-0.22,-0.0765,0,0,0,FL_thigh,0,0,-1,20,10,0,0,,,,,,,,
FL_foot,5.57990809113562E-09,0.000156464784550781,6.38025034006562E-05,0,0,0,0.0311902243903797,5.06120841117781E-06,1.89067382214396E-14,8.44229934715806E-13,4.98515638872325E-06,-1.02064134491074E-08,5.01872622594312E-06,0,0,0,0,0,0,package://g308_km/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://g308_km/meshes/FL_foot.STL,,装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-马蹄-1/标准件-硅胶球-1,Origin_FL_foot,,FL_foot,fixed,0.096205,-0.22407,0.01,2.9432,1.5708,0,FL_calf,0,0,0,20,10,,,,,,,,,,
RL_hip,-0.0322961922062758,0.000118232562381428,-0.000486401620728584,0,0,0,0.644397945178878,0.000560096488896003,-2.58445896960315E-08,1.17455817602919E-08,0.000387498452982005,-9.7756225314779E-09,0.000727167585866916,0,0,0,0,0,0,package://g308_km/meshes/RL_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km/meshes/RL_hip.STL,,装配体-腿部-左后-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-左后-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-二级铝管填充-1;装配体-腿部-左后-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-左后-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,RL_hip,A_RL_hip,RL_hip_joint,revolute,0.12709,-0.0615,0.0077356,1.5708,0,3.1416,base_link,1,0,0,20,10,0,0,,,,,,,,
RL_thigh,-0.0150573221014351,-0.0224676918278657,-0.0232453567128689,0,0,0,1.28743263166332,0.00278915910961467,0.000172770655683985,2.70466477608774E-06,0.000953560602144092,-2.8946600217002E-06,0.00368008457107982,0,0,0,0,0,0,package://g308_km/meshes/RL_thigh.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km/meshes/RL_thigh.STL,,装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机1-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-3;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-2;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机3-4;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机4-1;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-4;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-3;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-7;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-小腿电机固定-1;装配体-腿部-左后-1/打印件-小腿电机包裹B-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/电机-DM-J8006-3;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板-9;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板-10;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件1-4;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件3-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件2-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1底层-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-3;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-连杆1垫件-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-1,RL_thigh,A_RL_thigh,RL_thigh_joint,revolute,-0.056059,-0.011641,-0.059,0,0,0,RL_hip,0,0,1,20,10,0,0,,,,,,,,
RL_calf,0.050286422924934,-0.0913683369164015,0.0100012603719424,0,0,0,0.243574270730111,0.000648204117665957,-0.000308645680472917,-2.22084372729985E-09,0.000186059943789613,5.13538413373095E-09,0.000823306990230887,0,0,0,0,0,0,package://g308_km/meshes/RL_calf.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km/meshes/RL_calf.STL,,装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板右-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板左-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充上-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充下-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-马蹄-1/打印件-马蹄-1,RL_calf,A_RL_calf,RL_calf_joint,revolute,-0.011641,-0.20836,-0.0565,0,0,0,RL_thigh,0,0,-1,20,10,0,0,,,,,,,,
RL_foot,5.57990809113562E-09,0.000156464784550669,6.38025034006562E-05,0,0,0,0.0311902243903798,5.06120841117782E-06,1.89067431518709E-14,8.44229935295326E-13,4.98515638872326E-06,-1.0206413449107E-08,5.01872622594313E-06,0,0,0,0,0,0,package://g308_km/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://g308_km/meshes/RL_foot.STL,,装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-马蹄-1/标准件-硅胶球-1,Origin_RL_foot_joint,A_FL_hip,RL_foot_joint,fixed,0.096205,-0.22407,0.01,2.9432,1.5708,0,RL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0328882308707014,5.1355865514708E-05,0.00116372480202909,0,0,0,0.627619661039507,0.000548847991355844,2.58446337338265E-08,1.1745736386619E-08,0.00038703187400824,9.7756237385023E-09,0.00071592312919307,0,0,0,0,0,0,package://g308_km/meshes/FR_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km/meshes/FR_hip.STL,,装配体-腿部-右前-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-右前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-右前-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-右前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-右前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-右前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-右前-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-右前-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,FR_hip,A_FR_hip,FR_hip_joint,revolute,-0.1699,0.0615,0.0077356,1.5708,0,3.1416,base_link,-1,0,0,20,10,0,0,,,,,,,,
