Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0214023928696577,1.70806164934374E-05,0.00448859468724072,0,0,0,2.67950972765001,0.00764924890430011,5.2561537663457E-19,1.26393197598099E-21,0.00306662218528944,-2.86196080684661E-19,0.00637351494049742,0,0,0,0,0,0,package://g308_km1/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km1/meshes/base_link.STL,,12自由度身体-1/玻纤板-平台-2;12自由度身体-1/铝管15-190-6;12自由度身体-1/铝管15-175mmx4-2;12自由度身体-1/铝管15-175mmx4-4;12自由度身体-1/铝管15-190-8;12自由度身体-1/3D打印件-垫宽x8.-4;12自由度身体-1/玻纤板-连接2-7;12自由度身体-1/玻纤板-连接2-8;12自由度身体-1/玻纤板-电机连接2-1;12自由度身体-1/玻纤板-连接4-3mm-2;12自由度身体-1/玻纤板-连接3-3mm-4;12自由度身体-1/玻纤板-连接3-3mm-3;12自由度身体-1/玻纤板-连接1-3mm-1;12自由度身体-1/玻纤板-连接2-13;12自由度身体-1/玻纤板-连接2-14;12自由度身体-1/玻纤板-电机连接2-3;12自由度身体-1/3D打印件-垫宽x8.-6;12自由度身体-1/玻纤板-电机连接-2;12自由度身体-1/3D打印件-垫宽x8.-5;12自由度身体-1/铝管15-175mmx4-3;12自由度身体-1/玻纤板-连接2-12;12自由度身体-1/玻纤板-连接2-10;12自由度身体-1/玻纤板-连接2-11;12自由度身体-1/玻纤板-连接2-17;12自由度身体-1/铝管15-190-7;12自由度身体-1/铝管15-102mmx2-1;12自由度身体-1/玻纤板-连接4-3mm-1;12自由度身体-1/玻纤板-连接3-3mm-1;12自由度身体-1/玻纤板-电机连接-1;12自由度身体-1/玻纤板-连接2-6;12自由度身体-1/玻纤板-连接3-3mm-8;12自由度身体-1/玻纤板-连接1-3mm-3;12自由度身体-1/玻纤板-连接4-3mm-3;12自由度身体-1/玻纤板-连接2-15;12自由度身体-1/3D打印件-垫宽x8.-1;12自由度身体-1/铝管15-175mmx4-1;12自由度身体-1/铝管15-190-5;12自由度身体-1/玻纤板-连接4-3mm-4;12自由度身体-1/玻纤板-连接3-3mm-5;12自由度身体-1/铝管15-135-1;12自由度身体-1/玻纤板-连接1-3mm-2;12自由度身体-1/玻纤板-连接2-1;12自由度身体-1/玻纤板-连接2-3;12自由度身体-1/玻纤板-连接2-2;12自由度身体-1/玻纤板-连接3-3mm-2;12自由度身体-1/玻纤板-连接3-3mm-6;12自由度身体-1/玻纤板-连接1-3mm-4;12自由度身体-1/玻纤板-连接2-4;12自由度身体-1/铝管15-102mmx2-2;12自由度身体-1/玻纤板-连接2-16;12自由度身体-1/玻纤板-连接3-3mm-7;12自由度身体-1/铝管15-135-2;12自由度身体-1/玻纤板-连接2-5;装配体-腿部-右后-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-左后-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-左前-1/装配体-腿部一级-1/电机-DM-J8006-1;装配体-腿部-右前-1/装配体-腿部一级-1/电机-DM-J8006-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0323040033471831,0.000154622877039523,-0.000486401620728619,0,0,0,0.644397945178878,0.000560096488896003,-2.58445896879449E-08,-1.17457351822239E-08,0.000387498452982006,9.77577836232393E-09,0.000727167585866916,0,0,0,0,0,0,package://g308_km1/meshes/FL_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km1/meshes/FL_hip.STL,,装配体-腿部-左前-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-左前-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-二级铝管填充-1;装配体-腿部-左前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-左前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-左前-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,FL_hip,A_FL_hip,FL_hip_joint,revolute,-0.169896957635187,-0.0615,0.00773563134770065,1.5707963267949,0,3.14159265358979,base_link,1,0,0,20,10,0,0,,,,,,,,
FL_thigh,-0.0033537558546152,-0.0338204158502984,-0.0432769291541659,0,0,0,1.30117807647032,0.00279206136091976,0.000172867258688168,2.70466477607697E-06,0.000956985960310788,-2.89466002187096E-06,0.00368635586600467,0,0,0,0,0,0,package://g308_km1/meshes/FL_thigh.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km1/meshes/FL_thigh.STL,,装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机1-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-3;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-2;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机3-4;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机4-1;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-8;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-2;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-3;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-4;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-7;装配体-腿部-左前-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-1;装配体-腿部-左前-1/装配体-腿部二级-1/玻纤板-小腿电机固定-1;装配体-腿部-左前-1/打印件-小腿电机包裹B-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/电机-DM-J8006-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板-9;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件1-4;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板-10;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-小腿电机出轴垫片B-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1底层-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-3;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-连杆1垫件-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件3-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/打印件-大腿内外垫件2-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.0677000000000162,0,-0.0389999999999989,0,0,0,FL_hip,0,0,1,20,10,0,0,,,,,,,,
FL_calf,0.0502864229249589,-0.0913683369163925,0.0100012603719433,0,0,0,0.24357427073011,0.000648204117665967,-0.000308645680472932,-2.22084370787481E-09,0.000186059943789518,5.13538409378273E-09,0.000823306990230801,0,0,0,0,0,0,package://g308_km1/meshes/FL_calf.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km1/meshes/FL_calf.STL,,装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板右-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板左-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充上-2;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充下-1;装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-马蹄-1/打印件-马蹄-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,-0.220000000000026,-0.0764999999999719,0,0,0,FL_thigh,0,0,-1,20,10,0,0,,,,,,,,
FL_foot,5.5799523890343E-09,0.000156464784506705,6.38025032922429E-05,0,0,0,0.0311902243903799,5.06120841117783E-06,1.89067425933502E-14,8.44229940034712E-13,4.98515638872327E-06,-1.02064134491063E-08,5.01872622594315E-06,0,0,0,0,0,0,package://g308_km1/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://g308_km1/meshes/FL_foot.STL,,装配体-腿部-左前-1/装配体-腿部三级-左-1/装配体-马蹄-1/标准件-硅胶球-1,Origin_FL_foot,,FL_foot_joint,fixed,0.096205,-0.22407,0.01,2.9432,1.5708,0,FL_calf,0,0,0,20,10,,,,,,,,,,
RL_hip,-0.0322961922062757,0.000118232562381426,-0.000486401620728563,0,0,0,0.644397945178878,0.000560096488896003,-2.58445896960332E-08,1.17455817602919E-08,0.000387498452982005,-9.77562253147767E-09,0.000727167585866916,0,0,0,0,0,0,package://g308_km1/meshes/RL_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km1/meshes/RL_hip.STL,,装配体-腿部-左后-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-左后-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-左后-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-二级铝管填充-1;装配体-腿部-左后-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-左后-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,RL_hip,A_RL_hip,RL_hip_joint,revolute,0.127094802324014,-0.0614999999999994,0.00773563134769148,1.5707963267949,0,3.14159265358979,base_link,1,0,0,20,10,0,0,,,,,,,,
RL_thigh,-0.0149951778219201,-0.0221789938829724,-0.0232769291541693,0,0,0,1.30117807647032,0.0027920613609198,0.000172867258688068,2.70466477608774E-06,0.000956985960310799,-2.89466002170012E-06,0.00368635586600472,0,0,0,0,0,0,package://g308_km1/meshes/RL_thigh.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km1/meshes/RL_thigh.STL,,装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机1-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-3;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机2-2;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机3-4;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-大腿电机出轴连小腿电机4-1;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-4;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-3;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-2;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-7;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-1;装配体-腿部-左后-1/装配体-腿部二级-1/玻纤板-小腿电机固定-1;装配体-腿部-左后-1/打印件-小腿电机包裹B-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/电机-DM-J8006-3;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板-9;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板-10;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件1-4;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件3-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-大腿内外垫件2-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1底层-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-3;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-小腿连杆1-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-连杆1垫件-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/玻纤板-大腿板内侧加强-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/打印件-小腿电机出轴垫片B-3;装配体-腿部-左后-1/装配体-腿部二级-1/打印件-大腿电机出轴连小腿电机5-8,RL_thigh,A_RL_thigh,RL_thigh_joint,revolute,-0.0560585780326777,-0.0116414219673207,-0.0590000000000003,0,0,0,RL_hip,0,0,1,20,10,0,0,,,,,,,,
RL_calf,0.050286422924934,-0.0913683369164015,0.0100012603719424,0,0,0,0.243574270730111,0.000648204117665957,-0.000308645680472917,-2.22084372729984E-09,0.000186059943789613,5.13538413373085E-09,0.000823306990230887,0,0,0,0,0,0,package://g308_km1/meshes/RL_calf.STL,1,1,0,1,0,0,0,0,0,0,package://g308_km1/meshes/RL_calf.STL,,装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板右-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿板左-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充上-5-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充上-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/玻纤板-小腿填充中-5-2;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-小腿-1/铝管-小腿填充下-1;装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-马蹄-1/打印件-马蹄-1,RL_calf,A_RL_calf,RL_calf_joint,revolute,-0.0116414219673155,-0.208358578032676,-0.0565000000000064,0,0,0,RL_thigh,0,0,-1,20,10,0,0,,,,,,,,
RL_foot,5.57990809113562E-09,0.000156464784550669,6.38025034006562E-05,0,0,0,0.0311902243903798,5.06120841117782E-06,1.89067431518709E-14,8.44229935295326E-13,4.98515638872326E-06,-1.0206413449107E-08,5.01872622594313E-06,0,0,0,0,0,0,package://g308_km1/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://g308_km1/meshes/RL_foot.STL,,装配体-腿部-左后-1/装配体-腿部三级-左-1/装配体-马蹄-1/标准件-硅胶球-1,Origin_RL_foot_joint,A_FL_hip,RL_foot_joint,fixed,0.0962046871823952,-0.224068557252952,0.00999999999999387,2.94324795442992,1.5707963267949,0,RL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0328882308707016,5.13558654990113E-05,0.00116372480202901,0,0,0,0.627619661039507,0.000548847991355844,2.58446337337962E-08,1.17457363866266E-08,0.00038703187400824,9.7756237384996E-09,0.00071592312919307,0,0,0,0,0,0,package://g308_km1/meshes/FR_hip.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://g308_km1/meshes/FR_hip.STL,,装配体-腿部-右前-1/装配体-腿部一级-1/打印件-髋关节电机出轴垫片-6;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴3-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴2-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节出轴-1;装配体-腿部-右前-1/装配体-腿部一级-1/玻纤板-髋关节电机出轴板-1;装配体-腿部-右前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-2;装配体-腿部-右前-1/装配体-腿部二级-1/打印件-二级铝管填充-2;装配体-腿部-右前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-1;装配体-腿部-右前-1/装配体-腿部二级-1/玻纤板-大腿电机固定-外-1;装配体-腿部-右前-1/装配体-腿部二级-1/铝管-髋关节正交拼插-1;装配体-腿部-右前-1/装配体-腿部二级-1/电机-DM-J8006-2;装配体-腿部-右前-1/装配体-腿部二级-1/打印件-大腿电机出轴垫片-7,FR_hip,A_FR_hip,FR_hip_joint,revolute,-0.169896957635188,0.0614999999999995,0.00773563134775156,1.5707963267949,0,3.14159265358979,base_link,-1,0,0,20,10,0,0,,,,,,,,
